                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4843,                 2.4729,                 1.1806,                0.65378,                   0.52,                 0.5063,                0.24365,                 1.6785,                  2.093,                 1.2333,              0.0006625,              0.0006625,              0.0006625
                      2,                  1.608,                 1.7153,                 1.2401,                0.38011,                0.47333,                0.30814,                0.14703,                   1.53,                 2.4818,                  1.289,              0.0013028,              0.0013028,              0.0013028
                      3,                 1.6085,                 1.4594,                 1.2452,                0.75478,                0.66667,                0.69056,                0.36283,                 1.4765,                  1.164,                 1.1747,              0.0019168,              0.0019168,              0.0019168
                      4,                 1.6281,                 1.3256,                 1.2547,                0.75223,                0.62744,                0.65862,                0.33144,                 1.5443,                  1.128,                 1.2015,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5908,                 1.2843,                 1.2455,                0.83031,                   0.62,                0.70773,                 0.3629,                 1.5511,                 1.1861,                 1.1882,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5576,                  1.203,                 1.2228,                0.85092,                0.68496,                0.73861,                0.41115,                 1.4633,                0.95775,                  1.118,               0.001802,               0.001802,               0.001802
                      7,                 1.5566,                 1.1151,                 1.2026,                0.81113,                   0.68,                0.72919,                0.39071,                 1.4293,                 1.0222,                 1.1592,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4763,                 1.0572,                 1.1719,                0.83656,                0.70667,                0.74844,                 0.4063,                 1.3987,                0.96262,                 1.1053,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4843,                 1.0417,                 1.1813,                0.85894,                0.69014,                0.75137,                0.43007,                 1.3685,                0.88502,                 1.1191,              0.0016832,              0.0016832,              0.0016832
                     10,                  1.447,                 1.0178,                 1.1641,                0.84436,                0.75951,                0.78194,                0.44044,                 1.3673,                0.83815,                 1.1162,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4469,                0.98441,                 1.1644,                0.88229,                0.69333,                0.74221,                0.42119,                 1.3624,                0.99291,                 1.0802,               0.001604,               0.001604,               0.001604
                     12,                 1.4328,                0.96618,                 1.1509,                0.86247,                0.75255,                0.80767,                0.47428,                 1.2765,                 0.8003,                 1.0505,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4042,                0.92472,                  1.148,                0.91718,                0.73828,                0.80233,                0.47308,                 1.3019,                0.76355,                 1.0892,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.4083,                0.91379,                 1.1358,                0.87341,                0.73598,                0.78542,                  0.471,                 1.2762,                0.77364,                 1.0617,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3961,                0.90019,                 1.1404,                0.90851,                 0.7282,                0.81351,                0.47896,                 1.3005,                0.73436,                 1.0755,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3715,                0.88214,                 1.1276,                0.93146,                0.72667,                 0.8182,                0.49748,                 1.2782,                 0.7335,                 1.0614,               0.001406,               0.001406,               0.001406
                     17,                 1.3931,                0.87384,                 1.1198,                0.86624,                   0.76,                 0.7986,                 0.4682,                 1.3244,                0.80315,                 1.0511,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.3698,                0.85663,                 1.1175,                0.87937,                0.72899,                0.79566,                0.47653,                 1.3334,                0.76588,                 1.0783,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3333,                0.83095,                 1.0958,                 0.8423,                0.77333,                0.82564,                0.49451,                  1.256,                0.74743,                 1.0274,              0.0012872,              0.0012872,              0.0012872
                     20,                   1.35,                0.83089,                 1.1243,                 0.8829,                0.75396,                0.80833,                0.49042,                 1.2263,                0.72934,                 1.0232,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.3135,                0.81486,                 1.0956,                0.86925,                0.78667,                0.84976,                 0.5039,                 1.2375,                0.68805,                 1.0298,               0.001208,               0.001208,               0.001208
                     22,                 1.3349,                0.79443,                 1.1087,                 0.9352,                   0.76,                0.82478,                0.49039,                 1.2561,                0.67916,                 1.0263,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2879,                0.77333,                 1.0873,                0.88998,                    0.8,                0.85828,                0.51895,                 1.2203,                0.66865,                 1.0212,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2894,                0.77487,                 1.0894,                0.88996,                   0.78,                 0.8151,                0.50606,                 1.2012,                0.71158,                 1.0109,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3016,                0.76733,                 1.1042,                0.91964,                   0.78,                0.84958,                0.51844,                  1.201,                0.69532,                 1.0201,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.2847,                0.75849,                 1.0845,                0.94982,                0.76667,                0.83716,                 0.5066,                 1.2344,                0.69519,                 1.0255,                0.00101,                0.00101,                0.00101
                     27,                 1.2814,                0.74546,                 1.0824,                0.90186,                0.79642,                0.84249,                0.51694,                 1.2726,                0.67486,                 1.0267,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.2649,                0.73383,                 1.0685,                0.92176,                0.77333,                0.85898,                0.52955,                 1.2202,                0.61619,                 1.0088,              0.0009308,              0.0009308,              0.0009308
                     29,                  1.268,                0.73945,                  1.068,                0.87052,                0.81333,                0.84126,                0.50444,                 1.1812,                0.66069,                0.98309,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.2388,                0.71693,                 1.0686,                0.91061,                   0.82,                0.86002,                0.53027,                  1.208,                0.60043,                 1.0075,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.2586,                0.71236,                 1.0747,                0.88665,                0.78224,                0.85772,                0.52939,                  1.198,                0.62301,                0.99974,               0.000812,               0.000812,               0.000812
                     32,                 1.2462,                0.71095,                 1.0648,                0.90273,                0.79333,                0.86532,                0.53172,                 1.1886,                0.64643,                 1.0033,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.2391,                0.70432,                  1.061,                0.89923,                   0.82,                0.86545,                0.52852,                  1.195,                0.62826,                 1.0159,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.2098,                0.68156,                 1.0472,                0.87212,                0.83333,                0.87178,                0.53283,                 1.2111,                0.62921,                 1.0066,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2051,                 0.6761,                 1.0469,                0.90942,                0.80319,                0.84792,                0.53072,                 1.1754,                0.58831,                0.99587,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2031,                0.67916,                 1.0403,                0.92058,                0.77276,                0.85904,                0.54631,                 1.1712,                0.58741,                0.98211,               0.000614,               0.000614,               0.000614
                     37,                 1.1845,                0.66194,                 1.0413,                0.94491,                   0.76,                0.85649,                0.54166,                 1.1871,                0.63052,                0.99405,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1615,                0.64509,                 1.0321,                0.85291,                0.81183,                0.86562,                0.53616,                 1.2207,                0.60222,                 1.0143,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1859,                0.64612,                 1.0385,                 0.8449,                   0.86,                0.86501,                0.54476,                 1.1801,                0.58756,                0.98912,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1813,                0.64982,                  1.046,                0.89162,                 0.8227,                0.87206,                0.53854,                 1.1934,                0.58763,                  0.993,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1672,                0.61223,                 1.0255,                0.89242,                    0.8,                0.87254,                0.54333,                 1.2126,                0.63536,                 1.0038,               0.000416,               0.000416,               0.000416
                     42,                 1.1502,                0.59957,                 1.0236,                0.87077,                 0.8086,                0.86823,                0.55859,                 1.1613,                0.57861,                0.98144,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1484,                0.58399,                  1.013,                0.90805,                0.79008,                0.87269,                0.54593,                 1.1789,                0.62128,                0.98103,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1293,                 0.5806,                 1.0093,                0.89303,                    0.8,                0.85501,                0.54725,                  1.152,                0.57357,                0.97862,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1187,                0.56676,                 1.0033,                0.86942,                0.84335,                0.87476,                0.55733,                 1.1775,                0.56503,                0.98223,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1239,                0.56812,                 1.0081,                0.90385,                0.81469,                  0.881,                0.55529,                 1.1685,                0.58227,                0.98129,               0.000218,               0.000218,               0.000218
                     47,                 1.0943,                0.55576,                0.98699,                0.87269,                0.82256,                0.87799,                0.55151,                 1.1924,                 0.5907,                0.98059,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1024,                0.54759,                0.99631,                0.87885,                   0.82,                0.88015,                0.55252,                 1.1715,                0.58671,                 0.9746,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0897,                0.54666,                 0.9882,                0.90968,                 0.8057,                0.88001,                0.55186,                 1.1903,                0.56863,                0.97875,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0912,                0.54004,                0.98748,                0.88901,                0.82667,                0.87922,                0.55665,                 1.1763,                0.56439,                 0.9759,               5.96e-05,               5.96e-05,               5.96e-05
