                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6043,                 4.7454,                 1.6009,                0.58028,                0.03247,                0.01567,                0.00836,                 1.4654,                 3.7452,                 1.2303,             2.8227e-05,             2.8227e-05,             2.8227e-05
                      2,                  1.194,                 3.4188,                 1.3722,                0.67209,                0.10311,                0.07495,                0.04956,                 1.1228,                 2.7946,                 1.1479,             5.4961e-05,             5.4961e-05,             5.4961e-05
                      3,                 1.1375,                 2.7026,                 1.3584,                0.77972,                0.13256,                0.13987,                0.09378,                 1.1145,                 2.0555,                 1.2074,             8.0091e-05,             8.0091e-05,             8.0091e-05
                      4,                  1.093,                 2.2673,                  1.327,                0.73033,                0.17396,                0.17547,                0.11443,                 1.2062,                 1.7593,                 1.2035,             7.7787e-05,             7.7787e-05,             7.7787e-05
                      5,                 1.0505,                 1.9814,                 1.2873,                0.60366,                0.23124,                0.22194,                0.15683,                 1.0947,                 1.5094,                 1.1726,             7.5383e-05,             7.5383e-05,             7.5383e-05
                      6,                 1.0192,                 1.7857,                 1.2661,                0.51238,                0.27313,                0.26219,                0.19156,                 1.0464,                 1.2808,                 1.1764,             7.2979e-05,             7.2979e-05,             7.2979e-05
                      7,                 1.0033,                 1.6818,                 1.2467,                0.62513,                0.32575,                0.31711,                0.22969,                  1.099,                 1.2084,                 1.1867,             7.0574e-05,             7.0574e-05,             7.0574e-05
                      8,                 0.9827,                 1.5727,                 1.2299,                0.57531,                0.31068,                0.32458,                0.24172,                0.97868,                  1.162,                 1.1421,              6.817e-05,              6.817e-05,              6.817e-05
                      9,                0.97526,                 1.5026,                 1.2189,                0.65443,                0.39842,                0.40882,                 0.3003,                  1.095,                 1.0753,                 1.1744,             6.5766e-05,             6.5766e-05,             6.5766e-05
                     10,                0.96353,                 1.4613,                 1.2126,                0.58806,                0.41553,                0.40412,                0.30001,                 1.0535,                 1.0325,                 1.1737,             6.3361e-05,             6.3361e-05,             6.3361e-05
                     11,                0.95313,                 1.4043,                  1.199,                0.53504,                0.46885,                 0.4402,                0.33699,                0.95618,                0.98136,                  1.124,             6.0957e-05,             6.0957e-05,             6.0957e-05
                     12,                0.94521,                 1.3652,                 1.1934,                0.58101,                0.49573,                 0.4625,                0.35152,                0.96526,                0.94195,                 1.1274,             5.8553e-05,             5.8553e-05,             5.8553e-05
                     13,                 0.9417,                 1.3336,                 1.1906,                0.57956,                 0.5262,                0.51213,                0.39703,                0.96286,                0.92756,                 1.1317,             5.6149e-05,             5.6149e-05,             5.6149e-05
                     14,                0.93707,                 1.3094,                 1.1908,                0.61792,                0.47177,                0.48849,                0.36425,                 1.0246,                   0.93,                 1.1459,             5.3744e-05,             5.3744e-05,             5.3744e-05
                     15,                0.91864,                  1.268,                 1.1778,                0.60159,                 0.5051,                0.53785,                0.40994,                 0.9583,                0.87313,                 1.1211,              5.134e-05,              5.134e-05,              5.134e-05
                     16,                0.92277,                 1.2456,                 1.1762,                0.64105,                0.54346,                0.55348,                0.42059,                  1.004,                0.85948,                 1.1482,             4.8936e-05,             4.8936e-05,             4.8936e-05
                     17,                 0.9151,                 1.2241,                 1.1713,                0.54462,                0.57332,                0.57688,                0.45043,                0.93076,                0.83769,                 1.1197,             4.6531e-05,             4.6531e-05,             4.6531e-05
                     18,                0.91003,                 1.1983,                 1.1683,                0.60132,                0.58361,                0.58975,                0.45961,                0.91747,                0.82999,                 1.1088,             4.4127e-05,             4.4127e-05,             4.4127e-05
                     19,                0.90442,                  1.181,                 1.1643,                0.65192,                 0.5607,                0.58016,                0.44938,                0.93645,                0.84016,                 1.1175,             4.1723e-05,             4.1723e-05,             4.1723e-05
                     20,                0.90283,                  1.163,                 1.1585,                0.63989,                0.56949,                0.59344,                 0.4561,                0.96319,                0.80168,                 1.1286,             3.9319e-05,             3.9319e-05,             3.9319e-05
                     21,                0.89851,                  1.154,                  1.159,                0.66032,                0.58428,                0.60534,                0.47146,                0.92668,                0.79966,                 1.1069,             3.6914e-05,             3.6914e-05,             3.6914e-05
                     22,                0.89209,                 1.1311,                 1.1525,                0.63705,                0.58096,                0.60793,                0.47031,                0.96481,                0.77955,                 1.1192,              3.451e-05,              3.451e-05,              3.451e-05
                     23,                0.88717,                 1.1132,                 1.1472,                0.65847,                0.60499,                0.62379,                0.48902,                0.95177,                0.74901,                 1.1203,             3.2106e-05,             3.2106e-05,             3.2106e-05
                     24,                0.88734,                 1.1076,                 1.1478,                0.68977,                 0.5959,                 0.6397,                0.50365,                 0.9301,                0.75428,                 1.1097,             2.9701e-05,             2.9701e-05,             2.9701e-05
                     25,                0.88621,                 1.0857,                 1.1442,                 0.6636,                0.59963,                0.64004,                0.50219,                0.91708,                0.73676,                 1.1081,             2.7297e-05,             2.7297e-05,             2.7297e-05
                     26,                0.81081,                0.85153,                 1.1375,                0.66257,                0.62281,                0.63339,                0.49165,                0.93995,                0.74263,                 1.1125,             2.4893e-05,             2.4893e-05,             2.4893e-05
                     27,                0.79495,                0.80523,                 1.1251,                0.71282,                0.60872,                0.64366,                0.49836,                0.94822,                0.72561,                 1.1056,             2.2489e-05,             2.2489e-05,             2.2489e-05
                     28,                0.78593,                 0.7877,                 1.1154,                0.74263,                0.57297,                0.64518,                0.50438,                0.92158,                0.70746,                 1.0998,             2.0084e-05,             2.0084e-05,             2.0084e-05
                     29,                0.78798,                0.77992,                 1.1175,                 0.7614,                0.58496,                0.65405,                0.50945,                0.92424,                0.70281,                 1.0948,              1.768e-05,              1.768e-05,              1.768e-05
                     30,                 0.7787,                0.76616,                 1.1085,                0.76944,                0.56948,                 0.6745,                 0.5229,                0.93456,                0.69051,                 1.0993,             1.5276e-05,             1.5276e-05,             1.5276e-05
                     31,                0.77761,                0.76011,                  1.112,                0.76575,                0.57897,                0.66522,                0.51911,                0.92673,                0.69056,                 1.0955,             1.2871e-05,             1.2871e-05,             1.2871e-05
                     32,                0.77347,                0.74745,                 1.1074,                0.80281,                0.55375,                0.68577,                0.53447,                0.93098,                 0.6812,                 1.0994,             1.0467e-05,             1.0467e-05,             1.0467e-05
                     33,                0.76774,                0.74329,                 1.1026,                0.79219,                0.57435,                0.67753,                0.52723,                0.91974,                0.67362,                  1.093,             8.0629e-06,             8.0629e-06,             8.0629e-06
                     34,                0.76136,                0.73868,                 1.1037,                0.78096,                0.57777,                0.68182,                0.53195,                0.92414,                0.67428,                 1.0971,             5.6586e-06,             5.6586e-06,             5.6586e-06
