                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80737,                 2.3965,                0.98857,                      0,                      0,                      0,                      0,                      0,                 1140.2,                      0,             6.5241e-05,             6.5241e-05,             6.5241e-05
                      2,                0.59458,                0.78275,                 0.9109,                      0,                      0,                      0,                      0,                      0,                   1637,                      0,             0.00012411,             0.00012411,             0.00012411
                      3,                0.53641,                0.61944,                0.88479,                      0,                      0,                      0,                      0,                      0,                   1603,                      0,             0.00017651,             0.00017651,             0.00017651
                      4,                0.49918,                0.54201,                0.87011,                      0,                      0,                      0,                      0,                      0,                 1948.4,                      0,             0.00016689,             0.00016689,             0.00016689
                      5,                0.46832,                0.49087,                  0.861,                      0,                      0,                      0,                      0,                      0,                 1842.2,                      0,             0.00015719,             0.00015719,             0.00015719
                      6,                0.45545,                 0.4562,                0.85654,                      0,                      0,                      0,                      0,                      0,                 2176.8,                      0,             0.00014749,             0.00014749,             0.00014749
                      7,                0.44317,                0.42832,                0.85254,                      0,                      0,                      0,                      0,                      0,                 2138.9,                      0,             0.00013779,             0.00013779,             0.00013779
                      8,                0.43732,                  0.411,                0.85088,                      0,                      0,                      0,                      0,                      0,                 2095.4,                      0,             0.00012809,             0.00012809,             0.00012809
                      9,                0.42829,                0.39318,                0.84835,                      0,                      0,                      0,                      0,                      0,                 2101.7,                      0,             0.00011838,             0.00011838,             0.00011838
                     10,                0.42359,                0.37719,                 0.8465,                      0,                      0,                      0,                      0,                      0,                 2186.5,                      0,             0.00010868,             0.00010868,             0.00010868
                     11,                0.40506,                 0.3239,                0.83016,                      0,                      0,                      0,                      0,                      0,                 2146.1,                      0,              9.898e-05,              9.898e-05,              9.898e-05
                     12,                0.39578,                0.30515,                0.82619,                      0,                      0,                      0,                      0,                      0,                 2246.5,                      0,             8.9278e-05,             8.9278e-05,             8.9278e-05
                     13,                 0.3916,                0.29245,                0.82751,                      0,                      0,                      0,                      0,                      0,                 2208.9,                      0,             7.9576e-05,             7.9576e-05,             7.9576e-05
                     14,                0.38723,                0.28211,                0.82725,                      0,                      0,                      0,                      0,                      0,                 2138.2,                      0,             6.9874e-05,             6.9874e-05,             6.9874e-05
                     15,                0.38075,                 0.2739,                0.82456,                      0,                      0,                      0,                      0,                      0,                 2261.1,                      0,             6.0172e-05,             6.0172e-05,             6.0172e-05
                     16,                  0.376,                0.26585,                0.82351,                      0,                      0,                      0,                      0,                      0,                 2244.6,                      0,              5.047e-05,              5.047e-05,              5.047e-05
                     17,                 0.3737,                0.25966,                0.82219,                      0,                      0,                      0,                      0,                      0,                 2250.8,                      0,             4.0768e-05,             4.0768e-05,             4.0768e-05
                     18,                0.36981,                0.25421,                0.81974,                      0,                      0,                      0,                      0,                      0,                 2299.9,                      0,             3.1066e-05,             3.1066e-05,             3.1066e-05
                     19,                0.36529,                0.24824,                  0.821,                      0,                      0,                      0,                      0,                      0,                 2297.4,                      0,             2.1364e-05,             2.1364e-05,             2.1364e-05
                     20,                0.36351,                0.24537,                0.81907,                      0,                      0,                      0,                      0,                      0,                 2329.5,                      0,             1.1662e-05,             1.1662e-05,             1.1662e-05
