                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9506,                 6.1818,                 1.7755,                      0,                      0,                      0,                      0,                 1.2023,                 4.3433,                 1.3335,             4.0518e-05,             4.0518e-05,             4.0518e-05
                      2,                 1.2449,                  5.143,                 1.1915,                0.01486,                0.47778,                0.03492,                0.02289,                 1.0327,                 3.9388,                  1.249,             8.0173e-05,             8.0173e-05,             8.0173e-05
                      3,                 1.2066,                 4.6141,                 1.2064,                0.01414,                 0.6963,                0.05514,                0.03709,                 1.1728,                 3.8748,                 1.4367,             0.00011847,             0.00011847,             0.00011847
                      4,                 1.1819,                 4.3826,                 1.2067,                0.01617,                0.64444,                0.06618,                0.04392,                 1.2117,                 3.8398,                 1.4708,             0.00011691,             0.00011691,             0.00011691
                      5,                 1.1619,                 4.2296,                 1.2028,                 0.0224,                0.73704,                0.07062,                0.04781,                 0.9963,                 3.8202,                 1.2897,             0.00011488,             0.00011488,             0.00011488
                      6,                 1.1476,                 4.1019,                 1.1874,                0.02812,                0.76667,                0.05346,                0.03436,                 1.1646,                 3.7211,                  1.418,             0.00011285,             0.00011285,             0.00011285
                      7,                 1.1157,                 4.0006,                 1.1649,                 0.0233,                0.87778,                0.07984,                 0.0562,                0.98036,                 3.5237,                 1.3279,             0.00011082,             0.00011082,             0.00011082
                      8,                   1.12,                 3.9322,                 1.1703,                0.02324,                0.88148,                0.09135,                0.06503,                0.93995,                 3.4944,                 1.3065,             0.00010879,             0.00010879,             0.00010879
                      9,                 1.0888,                 3.8809,                 1.1635,                0.02674,                0.89259,                0.08037,                0.05876,                0.95444,                  3.572,                 1.3223,             0.00010676,             0.00010676,             0.00010676
                     10,                 1.0681,                 3.8015,                 1.1458,                0.02763,                0.91481,                0.10146,                0.07431,                0.92302,                 3.5618,                 1.3229,             0.00010473,             0.00010473,             0.00010473
                     11,                 1.0833,                 3.7588,                 1.1612,                0.02545,                0.88148,                0.09088,                0.06783,                0.96533,                 3.4037,                 1.3575,             0.00010271,             0.00010271,             0.00010271
                     12,                   1.04,                 3.6179,                 1.1258,                0.02796,                0.94815,                0.10846,                0.07829,                0.89187,                 3.2794,                 1.3007,             0.00010068,             0.00010068,             0.00010068
                     13,                 1.0373,                 3.6191,                 1.1259,                0.02975,                0.89259,                0.10108,                0.07086,                 1.1034,                 3.6023,                 1.4197,             9.8646e-05,             9.8646e-05,             9.8646e-05
                     14,                 1.0416,                 3.5526,                 1.1434,                 0.0286,                 0.9037,                0.13495,                0.09867,                0.95506,                 3.3115,                 1.3478,             9.6617e-05,             9.6617e-05,             9.6617e-05
                     15,                 1.0366,                 3.5089,                 1.1364,                0.02928,                0.88889,                0.15317,                0.11434,                0.94558,                  3.337,                 1.3426,             9.4587e-05,             9.4587e-05,             9.4587e-05
                     16,                  1.034,                 3.4307,                 1.1332,                0.03045,                0.93333,                0.15266,                0.11771,                0.95143,                 3.4247,                  1.341,             9.2557e-05,             9.2557e-05,             9.2557e-05
                     17,                 1.0472,                 3.4319,                 1.1324,                0.03425,                0.93333,                0.14186,                0.10979,                0.94505,                 3.6922,                 1.3491,             9.0528e-05,             9.0528e-05,             9.0528e-05
                     18,                 1.0224,                 3.3338,                 1.1358,                0.03277,                0.91111,                0.16015,                0.11843,                0.89301,                 3.4416,                  1.327,             8.8499e-05,             8.8499e-05,             8.8499e-05
                     19,                 1.0052,                 3.2931,                 1.1123,                0.03461,                0.78519,                0.12195,                0.08902,                0.93494,                 4.0619,                 1.3482,             8.6469e-05,             8.6469e-05,             8.6469e-05
                     20,                 1.0007,                 3.1717,                 1.1231,                0.03514,                0.91111,                0.16671,                0.12196,                  0.919,                 3.3831,                 1.3325,              8.444e-05,              8.444e-05,              8.444e-05
                     21,                 1.0089,                 3.2073,                 1.1239,                0.03825,                0.93333,                0.18498,                0.14527,                0.87841,                 3.4598,                 1.3006,              8.241e-05,              8.241e-05,              8.241e-05
                     22,                0.99248,                  3.144,                 1.1172,                0.04225,                0.90741,                0.17258,                0.13057,                 0.9028,                 3.5496,                 1.3098,             8.0381e-05,             8.0381e-05,             8.0381e-05
                     23,                0.99899,                 3.0397,                 1.1116,                0.04118,                0.81481,                0.21659,                0.16261,                0.89215,                 3.5972,                 1.3356,             7.8351e-05,             7.8351e-05,             7.8351e-05
                     24,                 0.9949,                 3.0439,                 1.1311,                0.04035,                0.85926,                0.20875,                0.15731,                0.94226,                 3.6012,                 1.3448,             7.6322e-05,             7.6322e-05,             7.6322e-05
                     25,                 1.0061,                 3.0135,                 1.1043,                0.03688,                0.91481,                0.27417,                0.21576,                0.90775,                 3.3007,                 1.3814,             7.4292e-05,             7.4292e-05,             7.4292e-05
                     26,                0.99607,                 2.9904,                 1.1256,                0.04681,                0.86667,                0.24949,                0.19675,                0.93313,                 3.4804,                 1.3943,             7.2262e-05,             7.2262e-05,             7.2262e-05
                     27,                0.95639,                 2.9059,                 1.0911,                0.04341,                0.88519,                0.23729,                0.18714,                0.87924,                  3.435,                 1.3381,             7.0233e-05,             7.0233e-05,             7.0233e-05
                     28,                0.96473,                 2.7924,                 1.1026,                0.04506,                0.89259,                0.26755,                0.21422,                0.88401,                 3.2332,                 1.3369,             6.8204e-05,             6.8204e-05,             6.8204e-05
                     29,                0.94857,                 2.7779,                 1.0849,                0.20306,                 0.5939,                0.28915,                0.22283,                0.89058,                 3.2626,                 1.3519,             6.6174e-05,             6.6174e-05,             6.6174e-05
                     30,                 0.9549,                 2.7558,                 1.1014,                0.56672,                0.23291,                0.30296,                0.23649,                0.94888,                 3.2665,                 1.4423,             6.4144e-05,             6.4144e-05,             6.4144e-05
                     31,                0.96355,                 2.7794,                 1.0968,                0.55175,                0.26487,                0.34138,                 0.2683,                0.88422,                 3.3271,                 1.3621,             6.2115e-05,             6.2115e-05,             6.2115e-05
                     32,                0.93975,                 2.6684,                 1.0899,                0.70691,                 0.2685,                0.38157,                0.29799,                0.94888,                 3.1883,                 1.4239,             6.0085e-05,             6.0085e-05,             6.0085e-05
                     33,                0.94096,                  2.599,                 1.0873,                0.41318,                0.48416,                 0.3759,                0.29076,                0.95545,                 3.3096,                 1.4393,             5.8056e-05,             5.8056e-05,             5.8056e-05
                     34,                0.92739,                 2.5076,                 1.0843,                0.71645,                0.16849,                0.32023,                0.24771,                0.97491,                 3.4646,                 1.4419,             5.6026e-05,             5.6026e-05,             5.6026e-05
                     35,                0.94107,                 2.5336,                 1.0957,                0.66787,                0.20783,                0.34802,                0.27847,                0.99391,                 3.3361,                 1.4484,             5.3997e-05,             5.3997e-05,             5.3997e-05
