epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4658,1.92094,6.13136,1.75949,0,0,0,0,1.3813,4.33606,1.44697,4.05176e-05,4.05176e-05,4.05176e-05
2,67.0223,1.25186,5.12344,1.19383,0.02742,0.42593,0.05698,0.03731,1.17587,4.08836,1.39976,8.07106e-05,8.07106e-05,8.07106e-05
3,94.1901,1.24749,4.64883,1.22187,0.01467,0.55185,0.03945,0.02642,1.13165,3.88771,1.36073,0.000120092,0.000120092,0.000120092
4,122.799,1.18647,4.36154,1.19327,0.01678,0.81111,0.06129,0.04382,1.04694,3.90238,1.29492,0.000119347,0.000119347,0.000119347
5,152.421,1.15343,4.24011,1.17924,0.0182,0.75926,0.0657,0.04667,1.11495,3.71632,1.355,0.000118129,0.000118129,0.000118129
6,179.634,1.17351,4.14019,1.21123,0.01883,0.85185,0.06199,0.0433,1.12383,3.5705,1.4234,0.000116912,0.000116912,0.000116912
7,207.732,1.13962,4.02648,1.17576,0.02182,0.85926,0.0666,0.04312,1.26979,3.95671,1.46113,0.000115694,0.000115694,0.000115694
8,237.244,1.12328,3.98185,1.17953,0.02198,0.84074,0.07648,0.05615,0.98938,3.60914,1.32127,0.000114476,0.000114476,0.000114476
9,263.703,1.09268,3.8868,1.16434,0.02512,0.84444,0.09424,0.05631,1.26144,3.54143,1.47175,0.000113258,0.000113258,0.000113258
10,291.754,1.08759,3.84648,1.1363,0.0292,0.83333,0.07795,0.05554,1.05481,3.79332,1.38357,0.000112041,0.000112041,0.000112041
11,320.387,1.07637,3.74937,1.14884,0.03447,0.89259,0.08894,0.06524,0.9963,3.50123,1.34995,0.000110823,0.000110823,0.000110823
12,347.613,1.08166,3.69309,1.13767,0.03355,0.87037,0.10423,0.07142,0.99599,3.47564,1.39117,0.000109605,0.000109605,0.000109605
13,376,1.08468,3.59053,1.15727,0.03232,0.8037,0.10149,0.07283,1.01421,3.60526,1.44707,0.000108388,0.000108388,0.000108388
14,405.466,1.06992,3.55487,1.14226,0.04083,0.84074,0.16478,0.12743,0.96953,3.48294,1.39125,0.00010717,0.00010717,0.00010717
15,432.405,1.04825,3.46969,1.12851,0.04001,0.84444,0.17949,0.13027,0.94745,3.44274,1.36004,0.000105952,0.000105952,0.000105952
16,460.909,1.03571,3.41261,1.12728,0.03524,0.82963,0.13275,0.09561,0.9718,3.52318,1.36596,0.000104735,0.000104735,0.000104735
17,490.522,1.01695,3.37399,1.12417,0.03789,0.88148,0.15922,0.11794,0.96825,3.55203,1.40673,0.000103517,0.000103517,0.000103517
18,517.647,1.02567,3.31965,1.12504,0.04345,0.90741,0.18912,0.13819,0.98696,3.29829,1.46306,0.000102299,0.000102299,0.000102299
19,545.733,1.02026,3.23205,1.12396,0.04185,0.81481,0.18388,0.14027,0.96854,3.57107,1.44922,0.000101081,0.000101081,0.000101081
20,574.725,1.03178,3.17277,1.13318,0.04219,0.91852,0.24317,0.17826,1.04949,3.19932,1.56652,9.98637e-05,9.98637e-05,9.98637e-05
21,602.811,1.00548,3.10005,1.10501,0.48127,0.23846,0.23679,0.18246,0.94124,3.44811,1.39298,9.8646e-05,9.8646e-05,9.8646e-05
22,630.352,1.02452,3.05612,1.11084,0.04503,0.77778,0.22061,0.16391,0.96344,3.55708,1.44433,9.74283e-05,9.74283e-05,9.74283e-05
23,659.459,1.01829,3.05843,1.12838,0.62115,0.22361,0.26514,0.20056,0.95226,3.1751,1.4477,9.62106e-05,9.62106e-05,9.62106e-05
24,688.032,0.99159,2.97592,1.09692,0.05314,0.91852,0.30236,0.23052,0.97891,3.43396,1.50892,9.49929e-05,9.49929e-05,9.49929e-05
25,715.616,1.00118,2.87206,1.10135,0.05574,0.84444,0.27656,0.19172,1.19685,3.48532,1.57918,9.37752e-05,9.37752e-05,9.37752e-05
26,745.569,0.96703,2.83833,1.08794,0.05096,0.83704,0.27226,0.19567,1.0158,3.87691,1.47047,9.25575e-05,9.25575e-05,9.25575e-05
27,773.959,0.99679,2.80095,1.09722,0.69457,0.18803,0.29736,0.22864,0.97394,3.48732,1.42009,9.13398e-05,9.13398e-05,9.13398e-05
28,801.236,0.97292,2.71781,1.09074,0.05437,0.84444,0.33482,0.2538,0.96684,3.40833,1.45168,9.01221e-05,9.01221e-05,9.01221e-05
29,830.602,0.9742,2.68225,1.09603,0.36491,0.35454,0.31455,0.2406,0.91192,3.44004,1.42171,8.89044e-05,8.89044e-05,8.89044e-05
30,859.382,0.96723,2.61291,1.09514,0.76676,0.17117,0.33775,0.25687,0.95088,3.33248,1.49295,8.76867e-05,8.76867e-05,8.76867e-05
31,886.24,0.9595,2.58168,1.09526,0.77583,0.22731,0.35921,0.27428,0.964,3.50307,1.48216,8.6469e-05,8.6469e-05,8.6469e-05
32,915.399,0.9612,2.52166,1.09439,0.73496,0.32298,0.36775,0.27654,0.9819,3.15497,1.51399,8.52513e-05,8.52513e-05,8.52513e-05
33,944.231,0.96013,2.47258,1.0834,0.75137,0.2069,0.37705,0.29,0.9628,3.13128,1.47376,8.40336e-05,8.40336e-05,8.40336e-05
34,971.103,0.94807,2.44127,1.08317,0.70945,0.22695,0.3638,0.28409,0.92715,3.34319,1.42954,8.28159e-05,8.28159e-05,8.28159e-05
35,1000.27,0.95557,2.33378,1.08648,0.74941,0.21574,0.38507,0.28893,1.04134,3.20618,1.52397,8.15982e-05,8.15982e-05,8.15982e-05
36,1028.66,0.96565,2.33813,1.08013,0.67191,0.32657,0.43341,0.3343,0.97666,3.05763,1.51858,8.03805e-05,8.03805e-05,8.03805e-05
37,1055.64,0.94358,2.30599,1.08145,0.79301,0.22331,0.39663,0.29106,1.01661,3.20312,1.52411,7.91628e-05,7.91628e-05,7.91628e-05
38,1085.27,0.95377,2.27074,1.08292,0.71296,0.24958,0.41349,0.30943,1.01081,3.12755,1.53081,7.79451e-05,7.79451e-05,7.79451e-05
39,1113.83,0.9413,2.22061,1.08431,0.72134,0.27967,0.42553,0.33606,0.91311,3.28299,1.45455,7.67274e-05,7.67274e-05,7.67274e-05
40,1141.14,0.90817,2.15551,1.0677,0.75112,0.28281,0.41876,0.32866,0.91047,3.18026,1.45232,7.55097e-05,7.55097e-05,7.55097e-05
41,1170.33,0.92074,2.14057,1.07405,0.6496,0.30483,0.43519,0.32888,0.97108,3.21084,1.52833,7.4292e-05,7.4292e-05,7.4292e-05
42,1198.12,0.92377,2.07036,1.07095,0.75184,0.23496,0.43201,0.32759,0.99042,3.30494,1.52884,7.30743e-05,7.30743e-05,7.30743e-05
43,1225.46,0.91067,2.0537,1.06421,0.80697,0.2382,0.47993,0.37387,0.95179,3.24925,1.49929,7.18566e-05,7.18566e-05,7.18566e-05
44,1254.99,0.91043,2.04834,1.06469,0.76189,0.22265,0.44686,0.34472,0.97293,3.22911,1.5396,7.06389e-05,7.06389e-05,7.06389e-05
45,1282.07,0.91288,1.96979,1.05922,0.74655,0.36179,0.49736,0.38462,0.95285,3.03823,1.5041,6.94212e-05,6.94212e-05,6.94212e-05
46,1310.07,0.91003,1.97499,1.06751,0.6847,0.30195,0.49533,0.38412,0.96223,2.97831,1.53618,6.82035e-05,6.82035e-05,6.82035e-05
47,1339.2,0.88588,1.90891,1.04934,0.72463,0.31064,0.51108,0.39878,0.91452,2.94294,1.46694,6.69858e-05,6.69858e-05,6.69858e-05
48,1367.21,0.86096,1.86704,1.04642,0.66436,0.38187,0.51943,0.40155,0.94523,2.91351,1.5354,6.57681e-05,6.57681e-05,6.57681e-05
49,1394.88,0.88904,1.88555,1.06331,0.75541,0.33956,0.53837,0.41517,0.93532,3.09685,1.51075,6.45504e-05,6.45504e-05,6.45504e-05
50,1424.35,0.85934,1.82428,1.04793,0.68415,0.26406,0.49726,0.39618,0.91907,3.17943,1.50632,6.33327e-05,6.33327e-05,6.33327e-05
51,1452.71,0.89786,1.84405,1.05099,0.66185,0.29501,0.49298,0.3791,0.93596,2.99694,1.50713,6.2115e-05,6.2115e-05,6.2115e-05
52,1480.21,0.86962,1.78273,1.03507,0.66477,0.29064,0.49762,0.3868,0.93883,2.94208,1.49819,6.08973e-05,6.08973e-05,6.08973e-05
53,1510.04,0.8781,1.82817,1.03499,0.58544,0.42438,0.48806,0.37907,0.91318,3.06573,1.45985,5.96796e-05,5.96796e-05,5.96796e-05
54,1539.98,0.87387,1.77348,1.04239,0.75536,0.33964,0.58857,0.45482,0.94787,2.90728,1.53043,5.84619e-05,5.84619e-05,5.84619e-05
55,1567.47,0.85462,1.71702,1.03997,0.77543,0.33556,0.56068,0.44304,0.93525,3.00106,1.52269,5.72442e-05,5.72442e-05,5.72442e-05
56,1596.48,0.87241,1.69776,1.04906,0.68202,0.36683,0.55838,0.43471,0.91556,2.88006,1.51439,5.60265e-05,5.60265e-05,5.60265e-05
57,1626.28,0.84175,1.68579,1.02991,0.74321,0.34559,0.53875,0.41557,0.93751,3.00803,1.52382,5.48088e-05,5.48088e-05,5.48088e-05
